,season_number,startup_name,episode_number,pitch_number,air_date,industry,busniess_description,year_founded,presenter_count,male_presenter,female_presenters,trans_presenters,couple_presenter,pitchers_avg_age,pitcher_city,pitcher_state,yearly_revenue,monthly_sales,gross_margin,net_margin,cash_burn,sku,patents,finance_type,original_ask_amount,original_offered_equity,valueation_requested,received_offer,accepted_offer,deal_amount,deal_equity,deal_debt,debt_interest,deal_valuation,sharks_in_deal,namita_investment_amount,namita_investment_equtiy,namita_debt_amount,vineeta_investment_amount,vineeta_investment_equtiy,vineeta_debt_amount,anupam_investment_amount,anupam_investment_equtiy,anupam_debt_amount,aman_investment_amount,aman_investment_equtiy,aman_debt_amount,peyush_investment_amount,peyush_investment_equtiy,peyush_debt_amount,amit_investment_amount,amit_investment_equtiy,amit_debt_amount,ashneer_investment_amount,ashneer_investment_equtiy,ashneer_debt_amount,guest_investment_amount,guest_investment_equtiy,guest_debt_amount,invested_guest_name,all_guest_names,namita_present,vineeta_present,anupam_present,aman_present,peyush_present,amit_present,ashneer_present,guest_present,multiple_pitcher_cities
0,1,BluePineFoods,1,1,2021-12-20 00:00:00,Food,Frozen Momos,2016.0,3,2.0,1.0,0.0,0.0,Middle,Delhi,Delhi,95.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,5.0,1000.0,1,1.0,75.0,16.0,0.0,0.0,469.0,3.0,0.0,0.0,0.0,25.0,5.33,0.0,0.0,0.0,0.0,25.0,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.33,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
1,1,BoozScooters,1,2,2021-12-20 00:00:00,Automobile,Renting e-bike for mobility in private spaces,2017.0,1,1.0,0.0,0.0,0.0,Young,Ahmedabad,Gujarat,4.0,0.4,0.0,0.0,0.0,0.0,0.0,3.0,40.0,15.0,267.0,1,1.0,40.0,50.0,0.0,0.0,80.0,2.0,0.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
2,1,HeartUpMySleeves,1,3,2021-12-20 00:00:00,Fashion,Detachable Sleeves,2021.0,1,0.0,1.0,0.0,0.0,Young,Delhi,Delhi,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,10.0,250.0,1,1.0,25.0,30.0,0.0,0.0,83.0,2.0,0.0,0.0,0.0,12.5,15.0,0.0,12.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
3,1,TagzFoods,2,4,2021-12-21 00:00:00,Food,Healthy Potato Chips Snacks,2019.0,2,2.0,0.0,0.0,0.0,Middle,Bangalore,Karnataka,700.0,0.0,48.0,0.0,0.0,0.0,0.0,3.0,70.0,1.0,7000.0,1,1.0,70.0,2.75,0.0,0.0,2545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,2.75,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
4,1,HeadAndHeart,2,5,2021-12-21 00:00:00,Education,Brain Development Course,2015.0,4,1.0,3.0,0.0,1.0,Middle,Patiala,Punjab,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,5.0,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
5,1,Agritourism,2,6,2021-12-21 00:00:00,Agriculture,Tourism,2005.0,2,1.0,1.0,0.0,1.0,Middle,Baramati,Maharashtra,79.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,5.0,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
6,1,qZenseLabs,3,7,2021-12-22 00:00:00,Food,Food Freshness Detector,2020.0,2,0.0,2.0,0.0,0.0,Middle,"Delhi,Mohali","Delhi,Punjab",25.0,15.0,0.0,0.0,0.0,0.0,1.0,3.0,100.0,0.25,40000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1
7,1,Peeschute,3,8,2021-12-22 00:00:00,Fashion,Disposable Urine Bag,2019.0,1,1.0,0.0,0.0,0.0,Young,Jalna,Maharashtra,100.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,75.0,4.0,1875.0,1,1.0,75.0,6.0,0.0,0.0,1250.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
8,1,NOCD,3,9,2021-12-22 00:00:00,Food,Energy Drink,2019.0,2,2.0,0.0,0.0,0.0,Middle,Bangalore,Karnataka,0.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,2.0,2500.0,1,1.0,20.0,15.0,30.0,0.0,133.0,1.0,0.0,0.0,0.0,20.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
9,1,CosIQ,4,10,2021-12-23 00:00:00,Fashion,Intelligent Skincare,2021.0,2,1.0,1.0,0.0,1.0,Middle,Delhi,Delhi,0.0,4.0,75.0,20.0,0.0,8.0,0.0,3.0,50.0,7.5,667.0,1,1.0,50.0,25.0,0.0,0.0,200.0,2.0,0.0,0.0,0.0,25.0,12.5,0.0,25.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
10,1,JhaJiAchaar,4,11,2021-12-23 00:00:00,Food,Pickle,2021.0,2,0.0,2.0,0.0,0.0,Old,Darbhanga,Bihar,0.0,5.0,18.0,0.0,0.0,0.0,0.0,3.0,50.0,10.0,500.0,1,1.0,56.6,5.62,0.0,0.0,1007.0,2.0,28.3,2.81,0.0,28.3,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
